Fx,Fy,Fz,Tx,Ty,Tz
-2.35504357749375,5.018311332162505,-0.030424649884343957,-2.7839973537074205,-0.8150549179454731,1.1259867623710318
-2.3385504770601258,5.004225201964527,-0.07285558952203963,-2.75774109080783,-0.7963599659155903,1.1326683318565152
-2.3716776744520045,5.021103100260052,-0.018189967796833628,-2.7906915583699567,-0.8271838477287761,1.1187103274212915
-2.2993367654663843,4.997020120537827,-0.12535202565665376,-2.7253378643270367,-0.7561259659427704,1.1432079252752583
-2.3611028036297665,4.969961843297124,-0.11148331385245336,-2.7222208624254662,-0.7871046208836163,1.1025796005435982
-2.3326280961166055,5.031391547320667,-0.03154109588506582,-2.793323483553845,-0.8103812918937895,1.1487499509002557
-2.3590065129439166,4.978991276167262,-0.07408716261568621,-2.7488078757072953,-0.7999911645568663,1.1129982370687788
-2.3402640121370846,4.940704061462571,-0.10261042312549212,-2.7142800891614005,-0.7832001292655425,1.1052455709118492
-2.30560554680913,4.972746489513623,-0.13102535712527769,-2.716449366988085,-0.759513854824289,1.1347956070735064
-2.3212265091002973,4.9472454330143325,-0.12190973032403357,-2.7064057099393115,-0.768756850087796,1.1160319062676156
-2.3285191081535332,5.017349297180701,-0.08866724132766424,-2.7564406182425882,-0.7862241324186416,1.141207437832241
-2.319946224684836,4.9843126647454605,-0.09440538175339463,-2.7361180860163445,-0.7785615400899263,1.1286615294636515
-2.280147580143673,5.009195663871896,-0.05601661451307932,-2.7675813732989996,-0.7770517444219825,1.1582508993300935
-2.3198531476208655,4.931010390380677,-0.09651215016773323,-2.7147263968192,-0.7760819256596451,1.1111420743247613
-2.391492665430717,4.984303191570719,-0.08539280323899917,-2.7418443828683903,-0.8082886889418449,1.0935427336910568
-2.3501025674511373,4.971009360633541,-0.025159573830422666,-2.7669611042874585,-0.8143810576179229,1.1101454486884024
-2.3558161305488285,4.980457600593596,-0.00813296298777283,-2.781274176100171,-0.8251292209789487,1.1171609442330397
-2.3197916095638225,4.9930934446164175,-0.06025953903049214,-2.7584416304790915,-0.79350809129072,1.1360737649613375
-2.331220330032366,4.9775398309414935,-0.05068344293964466,-2.7587923004041155,-0.804188998687156,1.1263986457283108
