time,lambda_star_Fx,lambda_star_Fy,lambda_star_Fz,meas_Fx,meas_Fy,meas_Fz
1756188573.3687768,-7.0,0.0,0.0,-4.2299999999999995,0.0,0.0
1756188573.418856,-7.0,0.0,0.0,-4.2299999999999995,0.0,0.0
1756188573.4787455,-7.0,0.0,0.0,-4.87,0.0,0.0
1756188573.5387568,-7.0,0.0,0.0,-3.79,0.0,0.0
1756188573.5887597,-7.0,0.0,0.0,-3.87,0.0,0.0
1756188573.6487381,-7.0,0.0,0.0,-4.21,0.0,0.0
1756188573.7087407,-7.0,0.0,0.0,-4.61,0.0,0.0
1756188573.7690575,-7.0,0.0,0.0,-4.45,0.0,0.0
1756188573.8287654,-7.0,0.0,0.0,-4.55,0.0,0.0
1756188573.878781,-7.0,0.0,0.0,-4.21,0.0,0.0
1756188573.938759,-7.0,0.0,0.0,-5.31,0.0,0.0
1756188573.9887805,-7.0,0.0,0.0,-5.13,0.0,0.0
1756188574.0487466,-7.0,0.0,0.0,-5.090000000000001,0.0,0.0
1756188574.1087546,-7.0,0.0,0.0,-4.930000000000001,0.0,0.0
1756188574.168764,-7.0,0.0,0.0,-4.670000000000001,0.0,0.0
1756188574.2187722,-7.0,0.0,0.0,-3.5900000000000007,0.0,0.0
1756188574.2687864,-7.0,0.0,0.0,-4.11,0.0,0.0
1756188574.328753,-7.0,0.0,0.0,-5.170000000000001,0.0,0.0
1756188574.3787851,-7.0,0.0,0.0,-4.330000000000001,0.0,0.0
1756188574.4387405,-7.0,0.0,0.0,-3.5900000000000007,0.0,0.0
1756188574.4887621,-7.0,0.0,0.0,-3.87,0.0,0.0
1756188574.5387702,-7.0,0.0,0.0,-4.1499999999999995,0.0,0.0
1756188574.5887718,-7.0,0.0,0.0,-3.45,0.0,0.0
1756188574.638785,-7.0,0.0,0.0,-4.1499999999999995,0.0,0.0
1756188574.6988606,-7.0,0.0,0.0,-4.19,0.0,0.0
1756188574.7587845,-7.0,0.0,0.0,-4.3500000000000005,0.0,0.0
1756188574.818762,-7.0,0.0,0.0,-4.47,0.0,0.0
1756188574.8687644,-7.0,0.0,0.0,-4.010000000000001,0.0,0.0
1756188574.9287324,-7.0,0.0,0.0,-4.55,0.0,0.0
1756188574.9787595,-7.0,0.0,0.0,-5.010000000000001,0.0,0.0
1756188575.038811,-7.0,0.0,0.0,-4.1499999999999995,0.0,0.0
1756188575.0987515,-7.0,0.0,0.0,-4.3500000000000005,0.0,0.0
1756188575.148792,-7.0,0.0,0.0,-4.510000000000001,0.0,0.0
1756188575.2087758,-7.0,0.0,0.0,-4.97,0.0,0.0
1756188575.2587862,-7.0,0.0,0.0,-4.750000000000001,0.0,0.0
1756188575.3187644,-7.0,0.0,0.0,-3.6499999999999995,0.0,0.0
1756188575.3688824,-7.0,0.0,0.0,-3.8500000000000005,0.0,0.0
1756188575.4287195,-7.0,0.0,0.0,-4.29,0.0,0.0
1756188575.4799557,-7.0,0.0,0.0,-3.8500000000000005,0.0,0.0
1756188575.5387795,-7.0,0.0,0.0,-4.11,0.0,0.0
1756188575.5988486,-7.0,0.0,0.0,-4.430000000000001,0.0,0.0
1756188575.6587536,-7.0,0.0,0.0,-4.47,0.0,0.0
1756188575.708762,-7.0,0.0,0.0,-4.069999999999999,0.0,0.0
1756188575.7687426,-7.0,0.0,0.0,-3.8500000000000005,0.0,0.0
1756188575.818786,-7.0,0.0,0.0,-5.05,0.0,0.0
1756188575.8788617,-7.0,0.0,0.0,-5.11,0.0,0.0
1756188575.9387617,-7.0,0.0,0.0,-4.090000000000001,0.0,0.0
1756188575.998769,-7.0,0.0,0.0,-4.409999999999999,0.0,0.0
1756188576.058725,-7.0,0.0,0.0,-4.510000000000001,0.0,0.0
1756188576.1088037,-7.0,0.0,0.0,-4.31,0.0,0.0
1756188576.1711087,-7.0,0.0,0.0,-4.670000000000001,0.0,0.0
1756188576.2287323,-7.0,0.0,0.0,-3.8099999999999996,0.0,0.0
1756188576.2887473,-7.0,0.0,0.0,-4.79,0.0,0.0
1756188576.3388767,-7.0,0.0,0.0,-4.13,0.0,0.0
1756188576.3987508,-7.0,0.0,0.0,-5.37,0.0,0.0
1756188576.4487767,-7.0,0.0,0.0,-5.39,0.0,0.0
1756188576.5087757,-7.0,0.0,0.0,-4.430000000000001,0.0,0.0
1756188576.5687466,-7.0,0.0,0.0,-4.250000000000001,0.0,0.0
1756188576.6187813,-7.0,0.0,0.0,-4.1499999999999995,0.0,0.0
1756188576.6787794,-7.0,0.0,0.0,-4.3500000000000005,0.0,0.0
1756188576.7387576,-7.0,0.0,0.0,-5.05,0.0,0.0
1756188576.7987301,-7.0,0.0,0.0,-5.010000000000001,0.0,0.0
1756188576.848798,-7.0,0.0,0.0,-6.53,0.0,0.0
1756188576.9087305,-7.0,0.0,0.0,-5.31,0.0,0.0
1756188576.95874,-7.0,0.0,0.0,-4.63,0.0,0.0
1756188577.018753,-7.0,0.0,0.0,-4.590000000000001,0.0,0.0
1756188577.078772,-7.0,0.0,0.0,-4.6499999999999995,0.0,0.0
1756188577.138827,-7.0,0.0,0.0,-3.29,0.0,0.0
1756188577.1987226,-7.0,0.0,0.0,-4.05,0.0,0.0
1756188577.2487278,-7.0,0.0,0.0,-4.11,0.0,0.0
1756188577.298736,-7.0,0.0,0.0,-4.430000000000001,0.0,0.0
1756188577.358932,-7.0,0.0,0.0,-5.2700000000000005,0.0,0.0
1756188577.4187376,-7.0,0.0,0.0,-5.510000000000001,0.0,0.0
1756188577.4789052,-7.0,0.0,0.0,-6.89,0.0,0.0
1756188577.5387893,-7.0,0.0,0.0,-6.430000000000001,0.0,0.0
1756188577.5987296,-7.0,0.0,0.0,-6.3500000000000005,0.0,0.0
1756188577.6487355,-7.0,0.0,0.0,-5.989999999999999,0.0,0.0
1756188577.708738,-7.0,0.0,0.0,-6.03,0.0,0.0
1756188577.7687483,-7.0,0.0,0.0,-5.430000000000001,0.0,0.0
1756188577.8187487,-7.0,0.0,0.0,-7.39,0.0,0.0
1756188577.8787975,-7.0,0.0,0.0,-7.930000000000001,0.0,0.0
1756188577.9387436,-7.0,0.0,0.0,-3.6100000000000003,0.0,0.0
1756188577.9987621,-7.0,0.0,0.0,-0.8700000000000001,0.0,0.0
1756188578.0587382,-7.0,0.0,0.0,-0.5300000000000002,0.0,0.0
1756188578.1187441,-7.0,0.0,0.0,-0.9500000000000002,0.0,0.0
1756188578.1787434,-7.0,0.0,0.0,-0.29000000000000004,0.0,0.0
1756188578.2387319,-7.0,0.0,0.0,-1.1900000000000004,0.0,0.0
1756188578.2887328,-7.0,0.0,0.0,-0.5300000000000002,0.0,0.0
1756188578.338822,-7.0,0.0,0.0,-0.4299999999999997,0.0,0.0
1756188578.3987362,-7.0,0.0,0.0,-0.9299999999999997,0.0,0.0
1756188578.4487975,-7.0,0.0,0.0,-1.0899999999999999,0.0,0.0
1756188578.5088406,-7.0,0.0,0.0,-1.5900000000000007,0.0,0.0
1756188578.5687332,-7.0,0.0,0.0,-0.6699999999999999,0.0,0.0
1756188578.618788,-7.0,0.0,0.0,-0.35000000000000053,0.0,0.0
1756188578.6787443,-7.0,0.0,0.0,-1.4699999999999998,0.0,0.0
1756188578.728746,-7.0,0.0,0.0,-1.6100000000000003,0.0,0.0
1756188578.778753,-7.0,0.0,0.0,-1.0700000000000003,0.0,0.0
1756188578.8388855,-7.0,0.0,0.0,-1.13,0.0,0.0
1756188578.8987646,-7.0,0.0,0.0,-1.2300000000000004,0.0,0.0
1756188578.9488215,-7.0,0.0,0.0,-0.6900000000000004,0.0,0.0
1756188579.0087562,-7.0,0.0,0.0,-0.7700000000000005,0.0,0.0
1756188579.068734,-7.0,0.0,0.0,-1.13,0.0,0.0
1756188579.1187496,-7.0,0.0,0.0,-0.6699999999999999,0.0,0.0
1756188579.1787655,-7.0,0.0,0.0,-1.17,0.0,0.0
1756188579.238733,-7.0,0.0,0.0,-0.6500000000000004,0.0,0.0
1756188579.2887485,-7.0,0.0,0.0,-1.0300000000000002,0.0,0.0
1756188579.3387585,-7.0,0.0,0.0,-0.7300000000000004,0.0,0.0
1756188579.398735,-7.0,0.0,0.0,-0.6699999999999999,0.0,0.0
1756188579.4495037,-7.0,0.0,0.0,-0.5899999999999999,0.0,0.0
1756188579.5087612,-7.0,0.0,0.0,-0.5700000000000003,0.0,0.0
1756188579.5689418,-7.0,0.0,0.0,-0.9900000000000002,0.0,0.0
1756188579.6287413,-7.0,0.0,0.0,-0.6100000000000003,0.0,0.0
1756188579.6787505,-7.0,0.0,0.0,-1.3500000000000005,0.0,0.0
1756188579.728769,-7.0,0.0,0.0,-0.75,0.0,0.0
1756188579.7887387,-7.0,0.0,0.0,-1.3100000000000005,0.0,0.0
1756188579.8387616,-7.0,0.0,0.0,-1.1900000000000004,0.0,0.0
1756188579.8987203,-7.0,0.0,0.0,-1.5100000000000007,0.0,0.0
1756188579.948759,-7.0,0.0,0.0,-1.5100000000000007,0.0,0.0
1756188580.008848,-7.0,0.0,0.0,0.04999999999999982,0.0,0.0
1756188580.0687532,-7.0,0.0,0.0,-1.0700000000000003,0.0,0.0
1756188580.1287913,-7.0,0.0,0.0,-1.0099999999999998,0.0,0.0
1756188580.1887565,-7.0,0.0,0.0,-0.9299999999999997,0.0,0.0
1756188580.2489228,-7.0,0.0,0.0,-1.0499999999999998,0.0,0.0
1756188580.3088582,-7.0,0.0,0.0,-0.9900000000000002,0.0,0.0
1756188580.3687232,-7.0,0.0,0.0,-1.5900000000000007,0.0,0.0
1756188580.4187896,-7.0,0.0,0.0,-0.9699999999999998,0.0,0.0
